Review,Rating,Date,Helpful Count,source,raw_text,cleaned_text,is_relevant,exploration_signal,barriers,categories_mentioned,relevance_reason
nice 👍,5,2026-07-31 13:46:32 UTC,0,play_store,nice 👍,nice,False,noise,,,no category-exploration signal
Very helpful,5,2026-07-31 13:46:25 UTC,0,play_store,Very helpful,helpful,False,noise,,,no category-exploration signal
V.good,5,2026-07-31 13:44:41 UTC,0,play_store,V.good,vgood,False,noise,,,no category-exploration signal
this app is very best app,5,2026-07-31 13:42:40 UTC,0,play_store,this app is very best app,app best app,False,noise,,,no category-exploration signal
good service,5,2026-07-31 13:41:20 UTC,0,play_store,good service,good service,False,noise,,,no category-exploration signal
High price,5,2026-07-31 13:40:50 UTC,0,play_store,High price,high price,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
no option to add upi email,1,2026-07-31 13:40:44 UTC,0,play_store,no option to add upi email,option add upi email,False,noise,,,no category-exploration signal
oho,5,2026-07-31 13:40:42 UTC,0,play_store,oho,oho,False,noise,,,no category-exploration signal
good.,5,2026-07-31 13:40:18 UTC,0,play_store,good.,good,False,noise,,,no category-exploration signal
very fast delivery app and super,5,2026-07-31 13:40:11 UTC,0,play_store,very fast delivery app and super,fast delivery app super,False,noise,,,no category-exploration signal
fast service,4,2026-07-31 13:39:16 UTC,0,play_store,fast service,fast service,False,noise,,,no category-exploration signal
excellent,5,2026-07-31 13:39:10 UTC,0,play_store,excellent,excellent,False,noise,,,no category-exploration signal
good job,5,2026-07-31 13:36:58 UTC,0,play_store,good job,good job,False,noise,,,no category-exploration signal
best app,5,2026-07-31 13:36:40 UTC,0,play_store,best app,best app,False,noise,,,short generic praise/complaint without category cues
lower price.,5,2026-07-31 13:34:03 UTC,0,play_store,lower price.,low price,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
"I haven't receive my order, where is my products, I already paid you, and even you didn't pick up my call. This is my first order and you scam me like this.",1,2026-07-31 13:32:50 UTC,0,play_store,"I haven't receive my order, where is my products, I already paid you, and even you didn't pick up my call. This is my first order and you scam me like this.",havent receive order product already pay even didnt pick call first order scam like,False,noise,,,no category-exploration signal
Paise loot liye mere,1,2026-07-31 13:32:26 UTC,0,play_store,Paise loot liye mere,paisa loot liye mere,False,noise,,,no category-exploration signal
very good app,5,2026-07-31 13:30:42 UTC,0,play_store,very good app,good app,False,noise,,,short generic praise/complaint without category cues
to many late,1,2026-07-31 13:26:15 UTC,0,play_store,to many late,many late,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
Insanely fast and super convenient 10/10 recommended,5,2026-07-31 13:25:47 UTC,0,play_store,Insanely fast and super convenient 10/10 recommended,insanely fast super convenient 1010 recommend,False,noise,,,no category-exploration signal
super,4,2026-07-31 13:25:39 UTC,0,play_store,super,super,False,noise,,,short generic praise/complaint without category cues
very bad service in himmatnagar order does not place in correct timing always late,1,2026-07-31 13:24:31 UTC,0,play_store,very bad service in himmatnagar order does not place in correct timing always late,bad service himmatnagar order place correct time always late,True,stuck_in_routine,coverage_or_eta,,routine/reorder language without exploration intent
fast and reliable serveice,5,2026-07-31 13:24:11 UTC,0,play_store,fast and reliable serveice,fast reliable serveice,False,noise,,,no category-exploration signal
It was a very bad experience as I have received torn packet and sticky chicken pieces,1,2026-07-31 13:23:59 UTC,0,play_store,It was a very bad experience as I have received torn packet and sticky chicken pieces,bad experience receive torn packet sticky chicken piece,False,noise,,,no category-exploration signal
ok 👌,3,2026-07-31 13:22:13 UTC,0,play_store,ok 👌,ok,False,noise,,,short generic praise/complaint without category cues
well in time but please clarify handling charges,5,2026-07-31 13:22:02 UTC,0,play_store,well in time but please clarify handling charges,well time please clarify handling charge,True,want_to_explore_blocked,price_uncertainty_new_category,,intent or category talk with friction/barrier cues
very good..timely,5,2026-07-31 13:22:02 UTC,0,play_store,very good..timely,goodtimely,False,noise,,,no category-exploration signal
fast,5,2026-07-31 13:20:05 UTC,0,play_store,fast,fast,False,noise,,,no category-exploration signal
very nice,5,2026-07-31 13:19:40 UTC,0,play_store,very nice,nice,False,noise,,,no category-exploration signal
rete full hy,1,2026-07-31 13:17:07 UTC,0,play_store,rete full hy,rete full hy,False,noise,,,no category-exploration signal
very very good 👍 bahut achchha app he,5,2026-07-31 13:15:47 UTC,0,play_store,very very good 👍 bahut achchha app he,good bahut achchha app,False,noise,,,no category-exploration signal
it was showing free delivery again i could see the charges.,1,2026-07-31 13:15:43 UTC,0,play_store,it was showing free delivery again i could see the charges.,show free delivery could see charge,False,noise,,,no category-exploration signal
"I frequently order from this app even after high handling charges and convenience charges. Today I received a wrong product and even though it's replaceable on the app, the customer service guy Priyanshu flatly refused to either refund or replace the item. He is even refusing to end the chat and disconnect. some days back another customer service guy who had called me for some technical issues, was extremely rude and unprofessional. Thank God Amazon has launched an emergency order section.",1,2026-07-31 13:15:40 UTC,0,play_store,"I frequently order from this app even after high handling charges and convenience charges. Today I received a wrong product and even though it's replaceable on the app, the customer service guy Priyanshu flatly refused to either refund or replace the item. He is even refusing to end the chat and disconnect. some days back another customer service guy who had called me for some technical issues, was extremely rude and unprofessional. Thank God Amazon has launched an emergency order section.",frequently order app even high handling charge convenience charge today receive wrong product even though replaceable app customer service guy priyanshu flatly refuse either refund replace item even refuse end chat disconnect day back another customer service guy call technical issue extremely rude unprofessional thank god amazon launch emergency order section,True,want_to_explore_blocked,price_uncertainty_new_category|dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
wonderful experience,5,2026-07-31 13:14:10 UTC,0,play_store,wonderful experience,wonderful experience,False,noise,,,no category-exploration signal
good app,5,2026-07-31 13:13:45 UTC,0,play_store,good app,good app,False,noise,,,short generic praise/complaint without category cues
Good 👍😊,5,2026-07-31 13:12:16 UTC,0,play_store,Good 👍😊,good,False,noise,,,no category-exploration signal
very good service!,5,2026-07-31 13:12:00 UTC,0,play_store,very good service!,good service,False,noise,,,no category-exploration signal
More than loving this app I truly respect Blinkit because it has never failed in their commitment. keep up the good work. and Thank You for your service.,5,2026-07-31 13:11:33 UTC,0,play_store,More than loving this app I truly respect Blinkit because it has never failed in their commitment. keep up the good work. and Thank You for your service.,love app truly respect blinkit never fail commitment keep good work thank service,False,noise,,,no category-exploration signal
Good 👍,5,2026-07-31 13:11:33 UTC,0,play_store,Good 👍,good,False,noise,,,no category-exploration signal
good experience,5,2026-07-31 13:10:47 UTC,0,play_store,good experience,good experience,False,noise,,,no category-exploration signal
"fruady app,,,",1,2026-07-31 13:10:18 UTC,0,play_store,"fruady app,,,",fruady app,False,noise,,,no category-exploration signal
Vegetables not fresh,1,2026-07-31 13:09:27 UTC,0,play_store,Vegetables not fresh,vegetable fresh,True,want_to_explore_blocked,dont_trust_quality_for_new_category,grocery,intent or category talk with friction/barrier cues
platform fee should not be applicable and discounts do not level up to Zepto,2,2026-07-31 13:08:03 UTC,0,play_store,platform fee should not be applicable and discounts do not level up to Zepto,platform fee applicable discount level zepto,False,noise,,,no category-exploration signal
say that order is near e but order is delay oeder,2,2026-07-31 13:06:01 UTC,0,play_store,say that order is near e but order is delay oeder,say order near e order delay oeder,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
no exchange policy no cooperation,1,2026-07-31 13:05:48 UTC,0,play_store,no exchange policy no cooperation,exchange policy cooperation,False,noise,,,no category-exploration signal
they deliver fast. but the quality is not always good.. it's mostly below average. Use only when absolutely urgent... and still u might be disappointed.,3,2026-07-31 13:05:33 UTC,0,play_store,they deliver fast. but the quality is not always good.. it's mostly below average. Use only when absolutely urgent... and still u might be disappointed.,deliver fast quality always good mostly average use absolutely urgent still u might disappoint,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
👍,5,2026-07-31 13:04:13 UTC,0,play_store,👍,👍,False,noise,,,no category-exploration signal
very good,5,2026-07-31 13:04:09 UTC,0,play_store,very good,good,False,noise,,,no category-exploration signal
I ordered a boat wireless earbuds but got an empty box and customer service team is not responsive,1,2026-07-31 13:03:13 UTC,0,play_store,I ordered a boat wireless earbuds but got an empty box and customer service team is not responsive,order boat wireless earbuds get empty box customer service team responsive,False,noise,,,no category-exploration signal
I order everything from blinkit even electronic machine also and it always works good and It delivers everything under 15 minutes,5,2026-07-31 13:03:07 UTC,0,play_store,I order everything from blinkit even electronic machine also and it always works good and It delivers everything under 15 minutes,order everything blinkit even electronic machine also always work good delivers everything 15 minute,True,stuck_in_routine,,,routine/reorder language without exploration intent
supar aap,5,2026-07-31 13:02:32 UTC,0,play_store,supar aap,supar aap,False,noise,,,no category-exploration signal
😋,5,2026-07-31 13:02:30 UTC,0,play_store,😋,😋,False,noise,,,no category-exploration signal
this app 🖐️,5,2026-07-31 13:02:19 UTC,0,play_store,this app 🖐️,app,False,noise,,,no category-exploration signal
"Hey, one item's missing from my order and the sealed bag's open. I tried reaching customer care, but they didn't respond. After trying multiple times, they finally connected via chat after 2 days, told me they sent a sealed one, and then disconnected. I even have video proof, and they didn't check anything.",1,2026-07-31 13:01:44 UTC,0,play_store,"Hey, one item's missing from my order and the sealed bag's open. I tried reaching customer care, but they didn't respond. After trying multiple times, they finally connected via chat after 2 days, told me they sent a sealed one, and then disconnected. I even have video proof, and they didn't check anything.",hey one item miss order seal bag open try reach customer care didnt respond try multiple time finally connect via chat 2 day tell sent seal one disconnect even video proof didnt check anything,True,want_to_explore_blocked,assortment_gap,,intent or category talk with friction/barrier cues
nicee,5,2026-07-31 13:00:47 UTC,0,play_store,nicee,nicee,False,noise,,,no category-exploration signal
give fresh products and reduce price for fruits,5,2026-07-31 12:58:51 UTC,0,play_store,give fresh products and reduce price for fruits,give fresh product reduce price fruit,True,want_to_explore_blocked,price_uncertainty_new_category|dont_trust_quality_for_new_category,grocery,intent or category talk with friction/barrier cues
ok good now,5,2026-07-31 12:58:27 UTC,0,play_store,ok good now,ok good,False,noise,,,short generic praise/complaint without category cues
amazing,5,2026-07-31 12:58:27 UTC,0,play_store,amazing,amaze,False,noise,,,no category-exploration signal
the app is good but when we do oder I will said buy for 99 when we buy for 99 it increases and it happens buy 199 to get free dilvery according to me blink is not good at for dilvery I thing I take extra charges in the form of dilvery charges,1,2026-07-31 12:58:21 UTC,0,play_store,the app is good but when we do oder I will said buy for 99 when we buy for 99 it increases and it happens buy 199 to get free dilvery according to me blink is not good at for dilvery I thing I take extra charges in the form of dilvery charges,app good oder say buy 99 buy 99 increase happens buy 199 get free dilvery accord blink good dilvery thing take extra charge form dilvery charge,False,noise,,,no category-exploration signal
good 👍🏻,5,2026-07-31 12:54:41 UTC,0,play_store,good 👍🏻,good,False,noise,,,no category-exploration signal
"Never order food items from Blinkit. They never stop selling expired food items! I ordered the most expensive milk packets. One of the milk packet expired 2 days ago! It was all curdled & smelly when the packet was opened. The only way to contact customer care is by email. Despite sharing the images and concern, they shamelessly say that they don't keep expired milk! Openly cheating customers! Go check your mail for order & images frauds!!",1,2026-07-31 12:49:01 UTC,1,play_store,"Never order food items from Blinkit. They never stop selling expired food items! I ordered the most expensive milk packets. One of the milk packet expired 2 days ago! It was all curdled & smelly when the packet was opened. The only way to contact customer care is by email. Despite sharing the images and concern, they shamelessly say that they don't keep expired milk! Openly cheating customers! Go check your mail for order & images frauds!!",never order food item blinkit never stop selling expire food item order expensive milk packets one milk packet expire 2 day ago curdle smelly packet open way contact customer care email despite share image concern shamelessly say dont keep expire milk openly cheat customer go check mail order image frauds,True,want_to_explore_blocked,price_uncertainty_new_category|dont_trust_quality_for_new_category,grocery,intent or category talk with friction/barrier cues
most of the things sort with this app,4,2026-07-31 12:48:47 UTC,0,play_store,most of the things sort with this app,thing sort app,False,noise,,,no category-exploration signal
easy and convinient,5,2026-07-31 12:48:40 UTC,0,play_store,easy and convinient,easy convinient,False,noise,,,no category-exploration signal
vary good,5,2026-07-31 12:48:04 UTC,0,play_store,vary good,vary good,False,noise,,,no category-exploration signal
very useless app ever I seen. i paced order mistakenly but here is no option to cancel it just placed order is in less than a minute. this app is a fraud. don't use it.,1,2026-07-31 12:48:02 UTC,0,play_store,very useless app ever I seen. i paced order mistakenly but here is no option to cancel it just placed order is in less than a minute. this app is a fraud. don't use it.,useless app ever see pace order mistakenly option cancel place order less minute app fraud dont use,False,noise,,,no category-exploration signal
excellent 👍,5,2026-07-31 12:45:32 UTC,0,play_store,excellent 👍,excellent,False,noise,,,no category-exploration signal
some time delivery charges havi.,4,2026-07-31 12:45:24 UTC,0,play_store,some time delivery charges havi.,time delivery charge havi,False,noise,,,no category-exploration signal
delivery in just minutes,5,2026-07-31 12:45:23 UTC,0,play_store,delivery in just minutes,delivery minute,False,noise,,,no category-exploration signal
all over good,5,2026-07-31 12:45:15 UTC,0,play_store,all over good,good,False,noise,,,no category-exploration signal
convenient and time saving,5,2026-07-31 12:43:02 UTC,0,play_store,convenient and time saving,convenient time save,False,noise,,,no category-exploration signal
Ispe se online electronic product mangwane pr wo khrab aajye usme koi issu ho to ye nato return krte h na exchange bol kh dete h hmari trf se product bhej diya h ab aap dekhiye ham isme kuch nhi kr skte ye hmari policy me nhi aata LOL Total money waste,1,2026-07-31 12:41:08 UTC,0,play_store,Ispe se online electronic product mangwane pr wo khrab aajye usme koi issu ho to ye nato return krte h na exchange bol kh dete h hmari trf se product bhej diya h ab aap dekhiye ham isme kuch nhi kr skte ye hmari policy me nhi aata LOL Total money waste,ispe se online electronic product mangwane pr wo khrab aajye usme koi issu ho ye nato return krte h na exchange bol kh dete h hmari trf se product bhej diya h ab aap dekhiye ham isme kuch nhi kr skte ye hmari policy nhi aata lol total money waste,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
very poor services. specialy riders are not cooprative,1,2026-07-31 12:41:06 UTC,0,play_store,very poor services. specialy riders are not cooprative,poor service specialy rider cooprative,False,noise,,,no category-exploration signal
says failed payment but payment went and made us oder the same thing twice,3,2026-07-31 12:40:41 UTC,0,play_store,says failed payment but payment went and made us oder the same thing twice,say fail payment payment go make u oder thing twice,True,stuck_in_routine,habit_reorder_only,,routine/reorder language without exploration intent
I had really terrible experience with them firsty I didn't receive my charger which I order and they gave me some local company charger second the charger was in a very terrible condition and yet the customer care service said you have received what you have order I will only change if it was not in a workable condition and my hard earned money 500 rupees goes to waste please do not order on blinkit it is a total scam going on there,1,2026-07-31 12:40:34 UTC,0,play_store,I had really terrible experience with them firsty I didn't receive my charger which I order and they gave me some local company charger second the charger was in a very terrible condition and yet the customer care service said you have received what you have order I will only change if it was not in a workable condition and my hard earned money 500 rupees goes to waste please do not order on blinkit it is a total scam going on there,really terrible experience firsty didnt receive charger order give local company charger second charger terrible condition yet customer care service say received order change workable condition hard earn money 500 rupee go waste please order blinkit total scam go,True,unclear,,electronics,category or barrier cues without clear funnel stage
excellent👍,5,2026-07-31 12:40:27 UTC,0,play_store,excellent👍,excellent,False,noise,,,no category-exploration signal
payment option not available in this time,3,2026-07-31 12:40:25 UTC,0,play_store,payment option not available in this time,payment option available time,True,want_to_explore_blocked,coverage_or_eta|assortment_gap,,intent or category talk with friction/barrier cues
good offer,5,2026-07-31 12:40:12 UTC,0,play_store,good offer,good offer,False,noise,,,no category-exploration signal
"We know you are all frauds and you are ordering because you are not satisfied. You say free delivery if you order 143 and then when it is 174 rupees, when you show the place order, it is 187 before you give an option to know how it was added. Why don't you give it to thieves?",1,2026-07-31 12:40:04 UTC,0,play_store,"We know you are all frauds and you are ordering because you are not satisfied. You say free delivery if you order 143 and then when it is 174 rupees, when you show the place order, it is 187 before you give an option to know how it was added. Why don't you give it to thieves?",know fraud order satisfied say free delivery order 143 174 rupee show place order 187 give option know add dont give thief,False,noise,,,no category-exploration signal
very good 👍,5,2026-07-31 12:38:13 UTC,0,play_store,very good 👍,good,False,noise,,,no category-exploration signal
"always late and wrong orders milk always old , too much handling delivery charges.If you will Stop doing blinkit lot of money you can save it",1,2026-07-31 12:36:48 UTC,0,play_store,"always late and wrong orders milk always old , too much handling delivery charges.If you will Stop doing blinkit lot of money you can save it",always late wrong order milk always old much handling delivery chargesif stop blinkit lot money save,True,stuck_in_routine,coverage_or_eta,grocery,routine/reorder language without exploration intent
Bast app,5,2026-07-31 12:36:22 UTC,0,play_store,Bast app,bast app,False,noise,,,no category-exploration signal
great all delivery,5,2026-07-31 12:35:33 UTC,0,play_store,great all delivery,great delivery,False,noise,,,no category-exploration signal
Good blinkit,5,2026-07-31 12:32:14 UTC,0,play_store,Good blinkit,good blinkit,False,noise,,,no category-exploration signal
Services Good.....but high Delivery charges....,1,2026-07-31 12:31:42 UTC,0,play_store,Services Good.....but high Delivery charges....,service goodbut high delivery charge,False,noise,,,no category-exploration signal
charges are high for delivery,1,2026-07-31 12:30:43 UTC,0,play_store,charges are high for delivery,charge high delivery,False,noise,,,no category-exploration signal
doesn't gives back refund even after calling multiple times. Think before ordering,2,2026-07-31 12:30:10 UTC,0,play_store,doesn't gives back refund even after calling multiple times. Think before ordering,doesnt give back refund even call multiple time think order,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
it deliver at time and good product,5,2026-07-31 12:26:28 UTC,0,play_store,it deliver at time and good product,deliver time good product,False,noise,,,no category-exploration signal
Reasonable price and fresh stock,5,2026-07-31 12:25:36 UTC,0,play_store,Reasonable price and fresh stock,reasonable price fresh stock,True,want_to_explore_blocked,price_uncertainty_new_category|dont_trust_quality_for_new_category,grocery,intent or category talk with friction/barrier cues
make this service available in gunupur also,5,2026-07-31 12:23:48 UTC,0,play_store,make this service available in gunupur also,make service available gunupur also,False,noise,,,no category-exploration signal
115 ka item dikha kar 150 me aa rha h,1,2026-07-31 12:23:00 UTC,0,play_store,115 ka item dikha kar 150 me aa rha h,115 ka item dikha kar 150 aa rha h,False,noise,,,no category-exploration signal
very nice& fast service 👍🏻,5,2026-07-31 12:21:51 UTC,0,play_store,very nice& fast service 👍🏻,nice fast service,False,noise,,,no category-exploration signal
mast,4,2026-07-31 12:21:11 UTC,0,play_store,mast,mast,False,noise,,,no category-exploration signal
higher price than mrp,3,2026-07-31 12:18:19 UTC,0,play_store,higher price than mrp,high price mrp,True,want_to_explore_blocked,price_uncertainty_new_category,grocery,intent or category talk with friction/barrier cues
service is very good,5,2026-07-31 12:16:49 UTC,0,play_store,service is very good,service good,False,noise,,,no category-exploration signal
hustle free quick shopping online that to too on same price as offline,5,2026-07-31 12:14:05 UTC,0,play_store,hustle free quick shopping online that to too on same price as offline,hustle free quick shopping online price offline,True,want_to_explore_blocked,price_uncertainty_new_category|habit_reorder_only,grocery,intent or category talk with friction/barrier cues
USELESS APP. no service in my area,1,2026-07-31 12:10:56 UTC,0,play_store,USELESS APP. no service in my area,useless app service area,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
"i don't own but it's good app , then also they sell on mrp príce",5,2026-07-31 12:08:12 UTC,0,play_store,"i don't own but it's good app , then also they sell on mrp príce",dont good app also sell mrp príce,False,noise,,,no category-exploration signal
Able to reach customer executive Mahvish and she initiated a refund for short items. Well done Mahvish,5,2026-07-31 12:08:03 UTC,0,play_store,Able to reach customer executive Mahvish and she initiated a refund for short items. Well done Mahvish,able reach customer executive mahvish initiate refund short item well do mahvish,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
high prize,1,2026-07-31 12:05:39 UTC,0,play_store,high prize,high prize,False,noise,,,no category-exploration signal
this is very useful,5,2026-07-31 12:05:29 UTC,0,play_store,this is very useful,useful,False,noise,,,no category-exploration signal
very good service and very goid quality,5,2026-07-31 12:02:04 UTC,0,play_store,very good service and very goid quality,good service goid quality,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
Good Wark,4,2026-07-31 12:01:51 UTC,0,play_store,Good Wark,good wark,False,noise,,,no category-exploration signal
CHAKKI AATA MANGWAYA KALL HI..AESA HAI JAISE SHISHA PISA GAYA HO KOI COUSTOMER SUPPORT NHI HAI...NA KAHI SE BADLNE KA OPTION AA RAHA HAI...MERE PAISE BARBAD HO GAYE.BINA BAAT.....,1,2026-07-31 12:00:48 UTC,0,play_store,CHAKKI AATA MANGWAYA KALL HI..AESA HAI JAISE SHISHA PISA GAYA HO KOI COUSTOMER SUPPORT NHI HAI...NA KAHI SE BADLNE KA OPTION AA RAHA HAI...MERE PAISE BARBAD HO GAYE.BINA BAAT.....,chakki aata mangwaya kall hiaesa hai jaise shisha pisa gaya ho koi coustomer support nhi haina kahi se badlne ka option aa raha haimere paise barbad ho gayebina baat,False,noise,,,no category-exploration signal
v good,5,2026-07-31 12:00:46 UTC,0,play_store,v good,v good,False,noise,,,no category-exploration signal
very good 👍 refund,5,2026-07-31 12:00:19 UTC,0,play_store,very good 👍 refund,good refund,True,want_to_explore_blocked,dont_trust_quality_for_new_category,,intent or category talk with friction/barrier cues
ok,5,2026-07-31 11:59:43 UTC,0,play_store,ok,ok,False,noise,,,short generic praise/complaint without category cues
💝,5,2026-07-31 11:58:02 UTC,0,play_store,💝,💝,False,noise,,,no category-exploration signal
good and affordable,5,2026-07-31 11:55:27 UTC,0,play_store,good and affordable,good affordable,False,noise,,,no category-exploration signal
delivery partner's location isn't showing in this application,1,2026-07-31 11:55:22 UTC,0,play_store,delivery partner's location isn't showing in this application,delivery partner location isnt showing application,True,unclear,coverage_or_eta,,category or barrier cues without clear funnel stage
gud to use,5,2026-07-31 11:54:13 UTC,0,play_store,gud to use,gud use,False,noise,,,no category-exploration signal
👍👍,5,2026-07-31 11:53:26 UTC,0,play_store,👍👍,👍👍,False,noise,,,no category-exploration signal
"very good service, fast delivery every time",5,2026-07-31 11:52:42 UTC,0,play_store,"very good service, fast delivery every time",good service fast delivery every time,False,noise,,,no category-exploration signal
good delivery app,4,2026-07-31 11:52:24 UTC,0,play_store,good delivery app,good delivery app,False,noise,,,no category-exploration signal
good onee,4,2026-07-31 11:50:23 UTC,0,play_store,good onee,good onee,False,noise,,,no category-exploration signal
The Dilivery Is on time I like it 👍,4,2026-07-31 11:46:22 UTC,0,play_store,The Dilivery Is on time I like it 👍,dilivery time like,False,noise,,,no category-exploration signal
best on best 10/10,5,2026-07-31 11:44:44 UTC,0,play_store,best on best 10/10,best best 1010,False,noise,,,no category-exploration signal
సూపర్,5,2026-07-31 11:42:31 UTC,0,play_store,సూపర్,సూపర్,False,noise,,,no category-exploration signal
👍🏻,5,2026-07-31 11:41:53 UTC,0,play_store,👍🏻,👍🏻,False,noise,,,no category-exploration signal
Minimum Order too Hight ₹149/-,1,2026-07-31 11:41:42 UTC,0,play_store,Minimum Order too Hight ₹149/-,minimum order hight,False,noise,,,no category-exploration signal
very very poor packing items was dirty In three items also they don't gave hand bag.,1,2026-07-31 11:38:30 UTC,1,play_store,very very poor packing items was dirty In three items also they don't gave hand bag.,poor pack item dirty three item also dont give hand bag,False,noise,,,no category-exploration signal
best delivery aap,5,2026-07-31 11:37:56 UTC,0,play_store,best delivery aap,best delivery aap,False,noise,,,no category-exploration signal
fast service i love it,5,2026-07-31 11:33:41 UTC,0,play_store,fast service i love it,fast service love,False,noise,,,no category-exploration signal
gode,1,2026-07-31 11:32:25 UTC,0,play_store,gode,gode,False,noise,,,no category-exploration signal
100 ki shopping pe hi free delivery laga do yaar,2,2026-07-31 11:31:58 UTC,0,play_store,100 ki shopping pe hi free delivery laga do yaar,100 ki shopping pe hi free delivery laga yaar,False,noise,,,no category-exploration signal
❤️❤️❤️❤️,5,2026-07-31 11:31:24 UTC,0,play_store,❤️❤️❤️❤️,❤️❤️❤️❤️,False,noise,,,no category-exploration signal
nic,5,2026-07-31 11:30:19 UTC,0,play_store,nic,nic,False,noise,,,no category-exploration signal
best,5,2026-07-31 11:29:56 UTC,0,play_store,best,best,False,noise,,,no category-exploration signal
blinkit application are totally froud and fake kuch ordar kro assistant bhi batmeez hai miss prachi do not buy any product blinkit price kuch dikhate hai milta kuch or hai support se contact kro to koi help nhi policy bhi hai 7 day's Replacement but do not follow the policy,1,2026-07-31 11:28:15 UTC,0,play_store,blinkit application are totally froud and fake kuch ordar kro assistant bhi batmeez hai miss prachi do not buy any product blinkit price kuch dikhate hai milta kuch or hai support se contact kro to koi help nhi policy bhi hai 7 day's Replacement but do not follow the policy,blinkit application totally froud fake kuch ordar kro assistant bhi batmeez hai miss prachi buy product blinkit price kuch dikhate hai milta kuch hai support se contact kro koi help nhi policy bhi hai 7 day replacement follow policy,True,want_to_explore_blocked,price_uncertainty_new_category|dont_trust_quality_for_new_category,grocery,intent or category talk with friction/barrier cues
soooper staaaar services. kudos,5,2026-07-31 11:24:17 UTC,1,play_store,soooper staaaar services. kudos,soooper staaaar service kudos,False,noise,,,no category-exploration signal
Great 👍🏻,5,2026-07-31 11:22:54 UTC,0,play_store,Great 👍🏻,great,False,noise,,,no category-exploration signal
best best best I don't have words ❤️,5,2026-07-31 11:22:19 UTC,0,play_store,best best best I don't have words ❤️,best best best dont word,True,want_to_explore_blocked,assortment_gap,,intent or category talk with friction/barrier cues
🤩,5,2026-07-31 11:18:46 UTC,0,play_store,🤩,🤩,False,noise,,,no category-exploration signal
